System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
TRIM22	217	0.007	0.086	0.8746	AMH|VPS13D|NSMAF|NCKAP1L|POLR2F|HMGA1|PHF21A|WDR46|FCGR3A|ZNF318|STMN1|ATP5D|DOK1|ZNF593|CDKN1B|RNASE6|RBP4|PDE4B|CREB5|EVI2B	9|15|52|82|139|152|156|216|269|312|316|321|351|369|407|426|503|566|610|624	6.23|6.05|5.59|-5.45|5.22|5.15|-5.14|-4.93|4.77|4.69|4.68|4.66|-4.6|-4.55|-4.47|-4.44|-4.27|-4.16|-4.08|-4.06
CTBP2	379	0.0128	0.087	0.8746	TIAM1|BTBD3|BUB3|RIN2|TIMP1|DST|CAMSAP1L1|KIF3A|WNT5A|EEF2|SRGN|SPRY2|THBS2|TUSC3|ITGA6|CAP2|LDOC1|GALNS|TNFSF8|TAL1	33|39|70|72|100|112|115|219|248|307|312|316|348|362|388|392|436|442|445|459	5.74|-5.71|5.51|-5.5|-5.38|5.32|5.31|4.92|-4.84|-4.7|-4.69|-4.68|-4.61|4.57|-4.51|4.5|4.42|4.39|-4.38|4.35
SMAD1	398	0.0108	0.087	0.8746	LOC100129361|TIMP1|ETS2|PLCB2|RPIA|TP53I3|TTF1|USPL1|FADS1|THBD|MYO1B|USP24|CREG1|STMN1|VPS11|PSPH|SLC1A3|THBS2|AOX1|TUSC3	77|100|184|187|190|212|234|236|238|269|280|297|307|316|319|338|338|348|351|362	5.48|-5.38|5.05|5.03|5.02|4.94|4.88|4.87|4.86|4.77|-4.75|4.71|4.7|4.68|4.67|4.63|4.63|-4.61|-4.6|4.57
USF2	214	0.0068	0.087	0.8746	ROR1|MTHFS|PRKAR1B|SLC25A36|CLCN7|DKK4|CLK1|RBM39|SCCPDH|GOSR1|PLEK|S100A1|TMEM147|COPS8|DMPK|HNRNPA0|LDB1|PFDN6|PARN|TAF1	6|32|66|110|126|126|135|142|179|307|382|442|456|558|558|558|586|647|655|655	6.33|5.75|-5.52|-5.33|5.28|-5.28|5.24|5.21|5.06|4.7|-4.52|4.39|4.36|-4.17|4.17|-4.17|4.13|4.02|-4.01|4.01
PURA	389	0.0116	0.088	0.8746	ZC3H4|VPS13D|CSNK1D|RPL12|MTF1|KCNAB2|ARL6IP1|UBE2E1|SLC2A3|VPRBP|SLC25A3|HIST1H3D|KCNA5|GFPT2|TP53I3|WDR46|TNKS|SNRPC|POLD3|LDB2	4|15|20|31|39|52|64|87|91|91|93|156|156|199|212|216|228|261|269|280	6.37|6.05|5.94|5.76|5.71|5.59|5.53|5.42|5.41|-5.41|5.4|5.14|5.14|-5|4.94|-4.93|4.9|4.79|4.77|4.75
ETS2	239	0.0075	0.088	0.8746	TRIM25|LOC100129361|ZFP36L2|VPRBP|SORBS2|BLVRB|CD14|SOD1|PLK1|CASP8|WNT5A|ADAM28|PADI2|THBD|CREG1|NFAT5|VWF|ID2|C11orf49|CAP2	8|77|84|91|96|179|207|234|244|248|248|257|261|269|307|312|327|344|351|392	6.26|5.48|5.43|-5.41|-5.39|-5.06|4.97|-4.88|4.85|4.84|-4.84|4.81|-4.79|4.77|4.7|-4.69|-4.65|4.62|4.6|4.5
PAX1	151	0.0065	0.088	0.8746	SLC25A16|EXTL1|ABCB9|HYAL3|CTNND1|CASP8|C9|BAIAP3|NFAT5|JUP|TNFRSF10B|SEMG2|TRIB1|ICAM4|MRC1L1|AGFG2|HAAO|CASP9|QKI|LNPEP	36|106|199|202|216|248|280|289|312|348|369|397|473|586|598|655|771|779|779|833	5.72|-5.34|5|4.99|-4.93|4.84|4.75|4.73|-4.69|4.61|-4.55|4.49|-4.32|-4.13|-4.11|-4.01|3.86|3.85|-3.85|-3.74
ATF5	281	0.007	0.089	0.8746	GATA3|MANF|BTN1A1|PBX2|ABCF1|BUB3|RANBP6|FMNL1|PLCB2|SAT1|ZBTB16|DYNLT3|RNF115|ADD1|FBXO9|NR2C1|UBFD1|C1orf9|ACP5|CASP1	19|30|43|46|56|70|137|168|187|190|190|194|209|234|289|312|316|319|376|426	5.95|5.77|5.68|5.67|5.57|5.51|5.23|5.1|5.03|5.02|5.02|5.01|4.96|4.88|-4.73|4.69|-4.68|4.67|-4.53|-4.44
FOXA1	156	0.0064	0.089	0.8746	KCNAB2|SMAP1|CTNND1|WDR46|TTF1|WDR73|LPHN3|ID2|ITGB3|NR4A2|ADPRH|VHL|PCDHGA12|IVD|RASA2|LCT|FAM131A|RB1CC1|RHCE|MMP13	52|56|216|216|234|253|259|344|348|364|407|415|438|472|485|494|499|566|660|706	5.59|-5.57|-4.93|-4.93|4.88|-4.82|-4.8|4.62|-4.61|4.56|-4.47|-4.46|-4.41|-4.33|-4.3|4.29|4.28|4.16|-4|-3.94
NFKB1	337	0.0097	0.091	0.8746	POP5|LDHA|ROR1|CSNK1D|MANF|BPGM|ABCF1|CS|SLC2A3|SLC25A3|CAMSAP1L1|TTLL12|CLCN7|GCNT2|TNFAIP3|SERPINB6|PLA2G4C|TTF1|FCGR3A|HP	2|5|6|20|30|43|56|66|91|93|115|117|126|126|184|194|212|234|269|352	6.45|6.34|6.33|5.94|5.77|5.68|5.57|5.52|5.41|5.4|5.31|5.3|5.28|5.28|5.05|5.01|4.94|4.88|4.77|4.59
NFE2L1	303	0.008	0.093	0.8746	CSNK1D|ALDH9A1|VPRBP|CFDP1|SPAG9|KLF5|RBM39|BLVRB|PMF1|USPL1|FADS1|STARD13|HOXC6|NR2C1|EXTL3|TUSC3|TNFAIP2|WIPI1|PCDHGA12|S100A1	20|61|91|126|135|142|142|179|186|236|238|269|280|312|344|362|415|426|438|442	5.94|5.55|-5.41|-5.28|5.24|5.21|5.21|-5.06|5.04|4.87|4.86|4.77|4.75|4.69|-4.62|4.57|-4.46|4.44|-4.41|4.39
TBL1X	256	0.008	0.093	0.8746	LDHA|WNT10B|ZBTB43|WBP4|FABP5|MTHFD2|VWA5A|RPS19|KCNA5|ATP5C1|KIF3B|RPL38|PTPRE|RPS17|SERPINB6|MAGI2|KIF3A|MAT2A|DSTN|PFAS	5|8|11|27|75|75|129|148|156|160|161|168|176|176|194|216|219|219|251|284	6.34|6.26|6.11|5.81|5.49|-5.49|5.27|5.16|5.14|5.13|5.12|-5.1|-5.07|5.07|5.01|4.93|4.92|4.92|-4.83|-4.74
HINFP	232	0.0073	0.094	0.8746	COX10|ZC3H4|ZBTB43|CSNK1D|PRKAR1B|WISP2|PTPRCAP|ENDOD1|B4GALT6|ARHGEF17|HYAL3|SEC22B|RHOQ|DBF4|SC4MOL|VPS11|TUSC3|CUL7|IGF1|WIPI1	4|4|11|20|66|87|96|117|120|126|202|259|293|307|307|319|362|415|415|426	6.37|6.37|6.11|5.94|-5.52|5.42|5.39|-5.3|5.29|-5.28|4.99|4.8|-4.72|4.7|4.7|4.67|4.57|-4.46|-4.46|4.44
HLTF	299	0.0069	0.095	0.8746	ATP6V0C|ERH|PTPRE|SNRNP40|SEC22B|POLD3|SEC62|EPRS|NR4A2|TEAD3|SEMG2|MCM4|SKIV2L2|LDOC1|CENPF|MDH1|DOK2|LMO1|BRCA1|DUSP6	100|142|176|199|259|269|269|284|364|388|397|407|426|436|459|472|503|558|586|618	-5.38|-5.21|-5.07|5|4.8|4.77|4.77|4.74|4.56|4.51|4.49|4.47|4.44|4.42|-4.35|4.33|-4.27|4.17|4.13|-4.07
ZBTB1	264	0.0062	0.095	0.8746	RPL12|ARL6IP1|SNRNP27|RBM39|THUMPD1|TMSB15A|C1QL1|BMI1|ITGB3|SEPT7|PTPRG|OSTF1|CBARA1|ATP11B|PSMD6|TOPORS|INTS1|OSBPL2|DZIP3|TUBB2C	31|64|135|142|160|184|194|275|348|382|388|392|456|494|494|543|547|624|631|660	5.76|5.53|5.24|5.21|5.13|-5.05|5.01|4.76|-4.61|4.52|-4.51|-4.5|-4.36|4.29|4.29|-4.19|-4.18|4.06|4.05|4
ZBTB5	321	0.0083	0.097	0.8746	COX10|CSNK1D|WBP4|BPGM|MGST3|IFI35|CAMSAP1L1|VWA5A|BTAF1|BLVRB|SUPT5H|PMF1|POLD4|PLIN2|BST2|TNKS|PMPCA|SERPINA5|GPLD1|HMGB1	4|20|27|43|91|103|115|129|160|179|184|186|186|222|228|228|257|275|284|293	6.37|5.94|5.81|5.68|5.41|5.36|5.31|5.27|5.13|-5.06|5.05|5.04|5.04|4.91|4.9|4.9|-4.81|4.76|4.74|-4.72
RELA	788	0.0307	0.099	0.8746	CSNK1D|RPL17|MTMR11|CLPS|U2AF2|SMAP1|ALDH9A1|CAMSAP1|TSN|ARL4A|DNM1L|UBE2E1|ATP6V0C|RAD23B|TIMP1|SLC25A36|CFDP1|CLCN7|LCP1|RBM39	20|23|25|49|49|56|61|61|61|70|84|87|100|100|100|110|126|126|126|142	5.94|5.85|-5.84|5.62|-5.62|-5.57|5.55|5.55|5.55|5.51|5.43|5.42|-5.38|5.38|-5.38|-5.33|-5.28|5.28|5.28|5.21
MEOX1	352	0.0093	0.1	0.8746	ZBTB43|GATA3|RPL17|RPL12|TSN|ABCC10|UTF1|ENDOD1|VWA5A|RPS19|RPS17|SUPT5H|TMSB15A|TNFAIP3|CD14|HBXIP|ARNTL|DSCR3|FADS1|SEC22B	11|19|23|31|61|75|115|117|129|148|176|184|184|184|207|234|236|238|238|259	6.11|5.95|5.85|5.76|5.55|5.49|5.31|-5.3|5.27|5.16|5.07|5.05|-5.05|5.05|4.97|-4.88|-4.87|4.86|4.86|4.8
L3MBTL1	170	0.006	0.1	0.8746	COX10|WBP4|NCKAP1L|FCGR3A|IDI1|GOSR1|JOSD1|DOK1|ACOX1|UGT2B7|PCDHGA12|S100A1|TMEM147|EREG|RB1CC1|NMT1|RBP3|ERC1|ZCCHC11|MAP4K1	4|27|82|269|269|307|307|351|373|426|438|442|456|513|566|673|706|756|779|827	6.37|5.81|-5.45|4.77|-4.77|4.7|4.7|-4.6|4.54|4.44|-4.41|4.39|4.36|4.25|4.16|-3.99|3.94|3.88|3.85|3.75
IRF1	304	0.0072	0.102	0.8758	GATA3|CST7|KIAA0141|SERPINA1|SLC2A3|UBE2L3|CLCN7|FCER1G|GTF2I|WDR46|ARNTL|CASP8|SEC62|BST1|UBL4A|FLT3|ALDOC|SLC5A6|EIF1AX|CHRND	19|36|40|63|91|106|126|129|172|216|236|248|269|275|333|369|407|415|450|456	5.95|5.72|5.69|5.54|5.41|-5.34|5.28|5.27|-5.08|-4.93|-4.87|4.84|4.77|4.76|-4.64|4.55|4.47|4.46|-4.37|4.36
NFAT5	160	0.0054	0.103	0.8758	ZBTB43|CLEC11A|ETS2|DOK1|ACP5|SLC17A1|ATP6V0A2|TBCD|CAV3|POLR2E|IFI44L|CRABP1|POU4F1|TAF1|STC2|MED1|WSB1|MYOG|LNPEP|DSP	11|82|184|351|376|439|518|524|558|558|586|618|655|655|692|771|779|789|833|875	6.11|5.45|5.05|-4.6|-4.53|-4.4|-4.24|4.23|-4.17|4.17|4.13|-4.07|-4.01|4.01|-3.96|-3.86|-3.85|3.84|-3.74|3.69
TAF2	296	0.0065	0.106	0.8758	SPON1|BDNF|RAB3GAP2|SMAP1|UTF1|SNRNP27|HADHA|TCERG1|SERPINB6|CD14|TAF6L|TTF1|USPL1|KRT5|IDI1|CFD|EIF5|DBF4|PGAP1|C11orf51	16|27|54|56|115|135|152|172|194|207|228|234|236|257|269|289|293|307|373|415	-6.04|5.81|5.58|-5.57|5.31|5.24|5.15|-5.08|5.01|4.97|4.9|4.88|4.87|-4.81|-4.77|4.73|-4.72|4.7|4.54|4.46
ZSCAN12	385	0.0103	0.108	0.8758	WNT10B|POU3F2|TFF2|BTN1A1|SMAP1|RFK|UTF1|ARHGAP6|KCNA5|PLXNA2|BTAF1|THUMPD1|GFPT2|HYAL3|SULT4A1|PLIN2|LDB2|P2RX1|CAP2|LGR5	8|18|22|43|56|63|115|148|156|156|160|160|199|202|205|222|280|376|392|402	6.26|6|5.88|5.68|-5.57|5.54|5.31|5.16|5.14|5.14|5.13|5.13|-5|4.99|4.98|4.91|4.75|4.53|4.5|-4.48
GTF2H4	213	0.0053	0.108	0.8758	RDBP|VWA5A|THUMPD1|WDR46|STXBP3|POLD1|SEC22B|HMGB1|GYS2|ASAP2|ATP7A|MDH1|SRSF10|RPL6|PATZ1|KRT35|HADHB|TRAPPC3|TGM3|RALY	70|129|160|216|244|253|259|293|307|418|467|472|509|534|574|598|647|655|747|833	5.51|5.27|5.13|-4.93|-4.85|4.82|4.8|-4.72|4.7|4.45|4.34|4.33|-4.26|4.21|-4.15|4.11|4.02|4.01|3.89|3.74
ZBTB24	206	0.0056	0.109	0.8758	ROR1|ENDOD1|SRRT|SPAG9|THUMPD1|WDR46|BMPR2|PLK1|ADAM28|LPHN3|FBXO9|OVGP1|NR4A2|RPS6KA3|RNASE6|MECP2|KPNA2|PRKCSH|RAPGEF5|LGMN	6|117|120|135|160|216|244|244|257|259|289|312|364|388|426|450|467|598|660|673	6.33|-5.3|5.29|5.24|5.13|-4.93|-4.85|4.85|4.81|-4.8|-4.73|4.69|4.56|4.51|-4.44|-4.37|-4.34|4.11|4|-3.99
RPL7	365	0.0074	0.11	0.8758	ZBTB43|RPL17|RPL12|ARPC2|ZFP36L2|UBE2E1|AAMP|ST5|NADK|ACADL|SPAG9|ABHD5|RPS19|RPL38|RPS17|SCCPDH|SETD3|C1QL1|SNRNP40|THBD	11|23|31|54|84|87|91|93|120|129|135|139|148|168|176|179|179|194|199|269	6.11|5.85|5.76|5.58|5.43|5.42|5.41|5.4|-5.29|-5.27|5.24|5.22|5.16|-5.1|5.07|5.06|5.06|5.01|5|4.77
TCF7L2	452	0.0127	0.114	0.8786	POP5|LDHA|ZBTB43|POU3F2|CSNK1D|MTMR11|WBP4|KIAA0182|CS|RIN2|CAMTA1|TIMP1|TPP1|UTF1|ERH|TTLL3|PTPRE|RPS17|PLCB2|ZBTB16	2|5|11|18|20|25|27|52|66|72|80|100|101|115|142|146|176|176|187|190	6.45|6.34|6.11|6|5.94|-5.84|5.81|5.59|5.52|-5.5|5.46|-5.38|5.37|5.31|-5.21|5.17|-5.07|5.07|5.03|5.02
SMAD3	232	0.0058	0.115	0.8786	ARL4A|KCNA3|SLC2A3|SLC25A36|CLCN7|SCCPDH|PIGH|WNT5A|PADI2|AOX1|CAP2|VHL|ST20|TNFSF8|ZNF354A|ENO2|UGP2|HNRNPA0|MGLL|TXNDC9	70|70|91|110|126|179|228|248|261|351|392|415|436|445|494|503|509|558|574|647	5.51|5.51|5.41|-5.33|5.28|5.06|-4.9|-4.84|-4.79|-4.6|4.5|-4.46|4.42|-4.38|-4.29|-4.27|4.26|-4.17|4.15|-4.02
BUD31	333	0.0068	0.116	0.8786	KIAA0141|ALDH9A1|ARL6IP1|SLC25A3|UBE2L3|NADK|BBOX1|POLR2F|DRG1|SUPT5H|TMSB15A|SAT1|RECQL|GRAP2|STXBP3|SEC22B|EIF5|GOSR1|GYPE|SEC24B	40|61|64|93|106|120|137|139|152|184|184|190|202|207|244|259|293|307|307|338	5.69|5.55|5.53|5.4|-5.34|-5.29|5.23|5.22|5.15|5.05|-5.05|5.02|4.99|4.97|-4.85|4.8|-4.72|4.7|4.7|4.63
STRN3	279	0.0056	0.119	0.8786	RPL12|CEP110|NSMAF|SMAP1|ARL6IP1|KCNA3|SLC25A36|CFDP1|EIF4G3|CA11|WNK1|NFX1|STXBP3|ZNF318|ZFPL1|KLK3|FLT1|UGT2B7|CHRND|CENPF	31|46|52|56|64|70|110|126|130|164|219|228|244|312|319|321|426|426|456|459	5.76|-5.67|5.59|-5.57|5.53|5.51|-5.33|-5.28|5.26|5.11|4.92|4.9|-4.85|4.69|-4.67|4.66|4.44|4.44|4.36|-4.35
ZNF254	233	0.0063	0.12	0.8786	ABCC10|NLGN4Y|B4GALT6|ARID4A|CTNND1|TNKS|RNF41|LMAN2|NR2C1|GRLF1|PLAT|AOX1|ACOX1|ZNF273|NCLN|SYNJ1|FIBP|MXRA7|RB1CC1|ATP10D	75|78|120|209|216|228|248|284|312|327|333|351|373|397|415|529|543|547|566|695	5.49|5.47|5.29|4.96|-4.93|4.9|-4.84|4.74|4.69|4.65|4.64|-4.6|4.54|-4.49|4.46|4.22|4.19|-4.18|4.16|-3.95
SMAD7	185	0.0049	0.121	0.8786	ARPC2|SLC2A3|BCL2|DSTN|SELE|PLEKHB1|CENPF|ICAM1|RFC1|TRAF3IP3|IL1RN|SMARCB1|SERPINI1|PHTF1|WSB1|DUSP4|ERP29|CABIN1|ARL2|P2RY10	54|91|106|251|327|333|459|485|529|683|706|706|721|771|779|798|848|884|983|1026	5.58|5.41|5.34|-4.83|-4.65|4.64|-4.35|4.3|-4.22|3.97|-3.94|3.94|-3.92|3.86|-3.85|3.81|-3.72|3.68|-3.57|3.51
ZFP36L2	233	0.0048	0.121	0.8786	LDHA|POU3F2|KCNA3|MTHFD2|CLCN7|SCCPDH|ETS2|KLC1|ADD1|EPHB6|HOXC6|UBFD1|ACOX1|KDM6B|TBCE|CDC45|KPNA2|MDH1|DAP3|UBE2N	5|18|70|75|126|179|184|205|234|269|280|316|373|373|402|456|467|472|509|513	6.34|6|5.51|-5.49|5.28|5.06|5.05|4.98|4.88|-4.77|4.75|-4.68|4.54|-4.54|4.48|-4.36|-4.34|4.33|-4.26|4.25
STAT4	315	0.0057	0.122	0.8786	TRIM25|GATA3|RPL12|CST7|CYP24A1|ST5|SORBS2|GOLGB1|FMOD|FCER1G|SRSF3|GTF2I|TAF6L|CAPN2|CD3G|PTPRN2|ITGB3|NR4A2|TEAD3|LCP2	8|19|31|36|57|93|96|100|110|129|135|172|228|307|327|333|348|364|388|402	6.26|5.95|5.76|5.72|-5.56|5.4|-5.39|-5.38|5.33|5.27|-5.24|-5.08|4.9|-4.7|4.65|4.64|-4.61|4.56|4.51|4.48
MEIS2	235	0.0056	0.124	0.8786	ZBTB43|TXNL4A|ARHGEF17|ACOT7|THUMPD1|BLVRB|ADD1|CASP8|RNF41|DSTN|ID2|ITGB3|ZMIZ2|CSRP1|PCK1|ZBTB48|RB1CC1|C2CD2|SDC4|LPAR1	11|12|126|146|160|179|234|248|248|251|344|348|432|467|479|479|566|598|673|706	6.11|6.1|-5.28|-5.17|5.13|-5.06|4.88|4.84|-4.84|-4.83|4.62|-4.61|-4.43|4.34|4.31|-4.31|4.16|-4.11|3.99|-3.94
C2orf3	269	0.0051	0.126	0.8786	CST7|CS|DNM1L|THOC2|RNF167|LILRB2|CUL5|PLIN2|PIGH|TTF1|PMPCA|EPRS|ZFPL1|PWP1|TNFRSF10B|APOBEC3F|CBARA1|ACVRL1|OSMR|PRKAB1	36|66|84|115|160|176|205|222|228|234|257|284|319|358|369|397|456|472|472|479	5.72|5.52|5.43|5.31|5.13|-5.07|4.98|4.91|-4.9|4.88|-4.81|4.74|-4.67|4.58|-4.55|-4.49|-4.36|4.33|4.33|4.31
SOX1	271	0.0057	0.127	0.8786	WNT10B|SAA1|KIAA0141|ABCC10|ENSA|BBOX1|ARHGAP6|HIST1H3D|KCNA5|POLD4|SERPINB6|GFPT2|KRT5|PADI2|APBB1|GYS2|GRLF1|TNFAIP2|PCDHGA12|ABP1	8|13|40|75|112|137|148|156|156|186|194|199|257|261|275|307|327|415|438|467	6.26|6.09|5.69|5.49|5.32|5.23|5.16|5.14|5.14|5.04|5.01|-5|-4.81|-4.79|4.76|4.7|4.65|-4.46|-4.41|-4.34
ZDHHC18	342	0.0058	0.128	0.8786	KCNAB2|VPRBP|GOLGB1|SLC25A36|CFDP1|GTF2I|BLVRB|SETD3|RPIA|SAT1|C1QL1|ZEB2|DSCR3|POLD3|BMI1|IL1B|CAPN2|EEF2|SRGN|SEC24B	52|91|100|110|126|172|179|179|190|190|194|222|238|269|275|289|307|307|312|338	5.59|-5.41|-5.38|-5.33|-5.28|-5.08|-5.06|5.06|5.02|5.02|5.01|4.91|4.86|4.77|4.76|-4.73|-4.7|-4.7|-4.69|4.63
NOTCH2	320	0.0055	0.129	0.8786	RABEPK|LDHA|CLTA|MTHFS|DENND5A|ARL6IP1|KCNA3|ZFP36L2|WISP2|ACADL|RNF167|FMNL1|HNRNPK|TRIM29|SCCPDH|RPIA|TLE1|WDR46|PIGH|USPL1	1|5|28|32|46|64|70|84|87|129|160|168|168|169|179|190|216|216|228|236	6.47|6.34|5.8|5.75|5.67|5.53|5.51|5.43|5.42|-5.27|5.13|5.1|5.1|5.09|5.06|5.02|4.93|-4.93|-4.9|4.87
GATA2	233	0.0056	0.131	0.8786	KIAA0141|CAMTA1|VPS41|LRRC32|SCRN1|PLAT|PTPRN2|C11orf49|CAPG|PTPRG|SAFB|ZNF273|ANKRD40|EREG|IL11RA|DUSP6|FLNA|TGM2|TSPO|ANKHD1-EIF4EBP3	40|80|96|164|275|333|333|351|376|388|397|397|494|513|518|618|631|727|747|762	5.69|5.46|5.39|5.11|4.76|4.64|4.64|4.6|4.53|-4.51|4.49|-4.49|-4.29|4.25|4.24|-4.07|-4.05|3.91|3.89|3.87
TEAD4	243	0.0048	0.132	0.8786	QPCT|KIAA0141|BPGM|NSMAF|EIF4G3|RBM39|PLXNA2|HBXIP|MPG|MYO1B|HMGB1|NR2C1|C1orf9|SEC24B|HOXD8|PLEK|SAFB|SNX13|S100A1|CENPF	29|40|43|52|130|142|156|234|269|280|293|312|319|338|373|382|397|432|442|459	5.78|5.69|5.68|5.59|5.26|5.21|5.14|-4.88|4.77|-4.75|-4.72|4.69|4.67|4.63|4.54|-4.52|4.49|-4.43|4.39|-4.35
HOXD13	199	0.0049	0.133	0.8786	TTLL12|SULT4A1|STMN1|HP|ZNF593|KDM6B|CTF1|PLEK|LGR5|PCDHGA12|B4GALT2|EIF2S1|HMGA2|KRT35|PPFIA3|AGFG2|ST14|HIST1H2BD|GPA33|MXD4	117|205|316|352|369|373|382|382|402|438|513|543|580|598|639|655|736|771|809|863	5.3|4.98|4.68|4.59|-4.55|-4.54|-4.52|-4.52|-4.48|-4.41|4.25|4.19|-4.14|4.11|4.03|-4.01|-3.9|3.86|-3.78|3.7
RRN3	158	0.0047	0.136	0.889	AKAP12|MTF1|CEP110|NADK|ARNTL|GPLD1|CCDC6|CUL3|SEC24B|ADM|STK16|S100A1|N4BP3|SRSF10|MYH3|MXRA7|PATZ1|MRC1L1|HIST1H2AD|C18orf25	18|39|46|120|236|284|297|297|338|388|418|442|467|509|524|547|574|598|610|639	6|5.71|-5.67|-5.29|-4.87|4.74|4.71|-4.71|4.63|4.51|4.45|4.39|-4.34|-4.26|4.23|-4.18|-4.15|-4.11|4.08|-4.03
BAZ2B	274	0.0052	0.141	0.8923	RABEPK|SAA1|SPON1|BTBD3|MGST3|GTF2I|POLD4|DYNLT3|CTNND1|TAF6L|BANF1|ZNF318|ATP5D|SLC1A3|ID2|PWP1|SCAMP1|NCLN|SLC5A6|ATP7A	1|13|16|39|91|172|186|194|216|228|293|312|321|338|344|358|392|415|415|467	6.47|6.09|-6.04|-5.71|5.41|-5.08|5.04|5.01|-4.93|4.9|4.72|4.69|4.66|4.63|4.62|4.58|4.5|4.46|4.46|4.34
KLF10	254	0.005	0.144	0.8923	LDHA|ATP6V0C|RRP12|LCP1|SNRNP27|ACOT7|HMGA1|RAP2A|RPIA|MAT2A|TICAM1|HP|STK16|ST20|KPNA2|ERCC8|NEUROD1|APOBEC3C|TK1|BRCA1	5|100|110|126|135|146|152|164|190|219|280|352|418|436|467|524|558|580|580|586	6.34|-5.38|5.33|5.28|5.24|-5.17|5.15|5.11|5.02|4.92|4.75|4.59|4.45|4.42|-4.34|-4.23|-4.17|4.14|4.14|4.13
ZFYVE9	188	0.0046	0.145	0.8923	KCNAB1|VPS13D|AKAP12|BPGM|AAMP|SUPT5H|PMF1|PLA2G4C|CTNND1|TAF6L|IDI1|LDB2|FBXO9|VWF|SEC24B|HP|PWP1|NR4A2|KDELR2|OSMR	14|15|18|43|91|184|186|212|216|228|269|280|289|327|338|352|358|364|432|472	6.07|6.05|6|5.68|5.41|5.05|5.04|4.94|-4.93|4.9|-4.77|4.75|-4.73|-4.65|4.63|4.59|4.58|4.56|-4.43|4.33
RNF6	338	0.0051	0.146	0.8923	GATA3|SMAP1|ALDH9A1|ARL6IP1|SNRNP27|PHF21A|BTAF1|THUMPD1|RPL38|TCERG1|HSPA13|TP53I3|SEC62|GPLD1|CFD|SPRY2|SEPT7|EIF1AY|SNX13|STK25	19|56|61|64|135|156|160|160|168|172|184|212|269|284|289|316|382|432|432|450	5.95|-5.57|5.55|5.53|5.24|-5.14|5.13|5.13|-5.1|-5.08|-5.05|4.94|4.77|4.74|4.73|-4.68|4.52|4.43|-4.43|4.37
SIX3	220	0.0046	0.146	0.8923	CSNK1D|SLC25A16|RIN2|ST5|ACADL|RPS17|SLC25A12|MAGI2|MAT2A|TTF1|WNT5A|PADI2|UBFD1|ATP5D|ITGB3|ABP1|COPE|MYH3|ABCB1|RHCE	20|36|72|93|129|176|194|216|219|234|248|261|316|321|348|467|524|524|574|660	5.94|5.72|-5.5|5.4|-5.27|5.07|5.01|4.93|4.92|4.88|-4.84|-4.79|-4.68|4.66|-4.61|-4.34|4.23|4.23|-4.15|-4
KLF9	337	0.0045	0.147	0.8923	BDNF|CLTA|ADA|TIMP1|LILRB2|ZBTB16|CTNND1|ADD1|NCOA1|DHCR24|FBXO9|SRGN|SPRY2|STMN1|CD3G|SLC1A3|ESD|CAPG|CASP1|KPNA2	27|28|43|100|176|190|216|234|257|275|289|312|316|316|327|338|344|376|426|467	5.81|5.8|5.68|-5.38|-5.07|5.02|-4.93|4.88|4.81|4.76|-4.73|-4.69|-4.68|4.68|4.65|4.63|-4.62|4.53|-4.44|-4.34
MNT	143	0.0045	0.148	0.8923	POP5|PSMC1|FMNL1|RPS17|ETS2|GYPE|DDIT4|PCDHGA12|HLA-DRB4|MPPE1|ACOT13|KIAA0494|ECD|SPTAN1|OXCT1|NDUFB7|CAMTA2|PLEKHM2|PTPRA|CD4	2|36|168|176|184|307|344|438|536|610|639|695|727|756|909|924|939|954|1001|1009	6.45|5.72|5.1|5.07|5.05|4.7|-4.62|-4.41|4.2|-4.08|4.03|3.95|-3.91|3.88|3.66|3.64|-3.62|3.6|-3.54|-3.53
ZFHX3	198	0.004	0.148	0.8923	RDBP|LOC100129361|TPP1|ENSA|DKK4|ERH|RPS19|THUMPD1|KIF3B|LILRB2|SRF|RECQL|TLE1|PIGH|SOD1|CFD|CCDC6|FLT3|TKTL1|AHCY	70|77|101|112|126|142|148|160|161|176|176|202|216|228|234|289|297|369|432|467	5.51|5.48|5.37|5.32|-5.28|-5.21|5.16|5.13|5.12|-5.07|5.07|4.99|4.93|-4.9|-4.88|4.73|4.71|4.55|-4.43|4.34
CAMTA1	244	0.0047	0.15	0.8931	BDNF|RDBP|TPP1|ENDOD1|TRIM29|SLC25A12|PMVK|FADS1|DHCR24|PFAS|PWP1|FLT3|TAL1|ATP7A|OSMR|COPE|ERCC8|TOPORS|ZFR|GZMK	27|70|101|117|169|194|228|238|275|284|358|369|459|467|472|524|524|543|543|547	5.81|5.51|5.37|-5.3|5.09|5.01|-4.9|4.86|4.76|-4.74|4.58|4.55|4.35|4.34|4.33|4.23|-4.23|-4.19|-4.19|4.18
